2026-04-14 00:14:14 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-14 00:14:14 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 5.355s
2026-04-14 00:14:17 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 1 claims
2026-04-14 00:14:17 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 2.898s
2026-04-14 00:14:17 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 1 claims extracted
2026-04-14 00:14:17 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.302s
2026-04-14 00:14:17 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-14 00:14:18 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.291s
2026-04-14 00:14:18 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-14 00:14:18 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-14 00:14:18 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 3.492s
2026-04-14 00:14:21 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 1 claims
2026-04-14 00:14:21 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 2.927s
2026-04-14 00:14:21 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 1 claims extracted
2026-04-14 00:14:21 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.240s
2026-04-14 00:14:21 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-14 00:14:21 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.270s
2026-04-14 00:14:21 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-14 00:14:21 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-14 00:14:21 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 3.438s
2026-04-14 00:14:24 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 1 claims
2026-04-14 00:14:24 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 3.114s
2026-04-14 00:14:24 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 1 claims extracted
2026-04-14 00:14:24 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.102s
2026-04-14 00:14:24 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-14 00:14:25 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.312s
2026-04-14 00:14:25 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-14 00:14:25 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-14 00:14:25 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 3.528s
2026-04-14 00:14:27 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 1 claims
2026-04-14 00:14:27 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 2.831s
2026-04-14 00:14:27 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 1 claims extracted
